datetime,year,month,day,hour,season,station,latitude,longitude,source,pm25,pm10,o3,no2,temperature,humidity,wind_speed,wind_dir,pm25_exceed,pm25_level,pm25_roll_3,pm25_roll_6,pm25_roll_12,pm10_roll_3,pm10_roll_6,pm10_roll_12,o3_roll_3,o3_roll_6,o3_roll_12,no2_roll_3,no2_roll_6,no2_roll_12,hour_sin,hour_cos,month_sin,month_cos,source_enc
2025-11-07,2025,11,7,0,2,Tokyo,35.6895,139.69171,japan,25.691666666666663,26.733333333333334,36.75,44.03333333333333,,,,,0.0,1.0,30.3972222222222,29.31180555555555,28.32743055555555,31.28194444444443,30.04861111111111,29.147222222222222,26.97222222222221,29.000000000000004,30.184027777777775,53.713888888888874,49.71805555555556,50.15069444444444,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-08,2025,11,8,0,2,Tokyo,35.6895,139.69171,japan,25.441666666666663,26.379166666666663,21.291666666666668,49.74583333333334,,,,,0.0,1.0,25.748611111111085,26.44305555555555,27.843402777777772,26.698611111111095,27.270833333333332,28.67395833333333,29.666666666666654,29.472222222222225,30.635416666666668,47.929166666666646,47.78333333333333,48.56597222222223,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-09,2025,11,9,0,2,Tokyo,35.6895,139.69171,japan,40.8375,42.95416666666667,7.5,64.84583333333333,,,,,1.0,2.0,30.65694444444442,30.10347222222222,28.905208333333334,32.02222222222221,31.179861111111112,29.869097222222223,21.84722222222221,23.423611111111114,28.524305555555557,52.87499999999998,53.15486111111111,49.79756944444444,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-10,2025,11,10,0,2,Tokyo,35.6895,139.69171,japan,33.145833333333336,33.92916666666667,26.875,45.62916666666666,,,,,0.0,1.0,33.141666666666644,31.769444444444442,30.11388888888889,34.42083333333332,32.85138888888889,31.10659722222222,18.555555555555543,22.763888888888896,28.09375,53.40694444444443,53.56041666666667,50.00763888888889,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-11,2025,11,11,0,2,Tokyo,35.6895,139.69171,japan,22.004166666666663,22.4375,18.166666666666668,49.87083333333334,,,,,0.0,1.0,31.99583333333331,28.87222222222222,29.73402777777778,33.10694444444443,29.902777777777782,30.628472222222218,17.513888888888875,23.590277777777782,26.041666666666668,53.44861111111109,50.68888888888889,50.63923611111111,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-12,2025,11,12,0,2,Tokyo,35.6895,139.69171,japan,24.954166666666666,25.8375,24.166666666666668,48.791666666666664,,,,,0.0,1.0,26.701388888888868,28.67916666666666,29.755902777777777,27.401388888888874,29.711805555555554,30.57013888888889,23.069444444444432,22.45833333333334,24.930555555555557,48.0972222222222,50.486111111111114,50.885416666666664,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-13,2025,11,13,0,2,Tokyo,35.6895,139.69171,japan,57.0625,58.01666666666667,5.458333333333333,64.3875,,,,,1.0,3.0,34.673611111111086,33.90763888888888,31.609722222222217,35.43055555555554,34.925694444444446,32.48715277777778,15.930555555555543,17.24305555555556,23.121527777777775,54.34999999999999,53.87847222222222,51.79826388888889,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-14,2025,11,14,0,2,Tokyo,35.6895,139.69171,japan,46.74166666666667,47.6875,18.833333333333332,57.0,,,,,1.0,2.0,42.91944444444442,37.45763888888889,31.95034722222222,43.84722222222221,38.47708333333333,32.873958333333334,16.152777777777768,16.83333333333334,23.152777777777782,56.72638888888887,55.0875,51.43541666666667,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-15,2025,11,15,0,2,Tokyo,35.6895,139.69171,japan,34.579166666666666,35.80833333333333,20.583333333333332,55.55833333333334,,,,,0.0,1.0,46.12777777777776,36.414583333333326,33.25902777777778,47.17083333333332,37.28611111111111,34.23298611111111,14.95833333333332,19.013888888888896,21.21875,58.98194444444443,53.53958333333333,53.34722222222223,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
2025-11-16,2025,11,16,0,2,Tokyo,35.6895,139.69171,japan,51.24166666666667,52.520833333333336,12.875,61.75833333333333,,,,,1.0,2.0,44.18749999999998,39.43055555555555,35.6,45.338888888888874,40.38472222222222,36.61805555555556,17.430555555555543,16.68055555555556,19.722222222222225,58.10555555555553,56.22777777777778,54.89409722222223,0.0,1.0,-0.8660254037844386,0.5000000000000001,2
